Make,Model,Battery Wh,Max PV Watts,W to Wh Ratio,Min PV Voltage,Max PV Voltage,Max PV Amps,Inverter Watts,Max AC Input Amps,Max AC Input Watts,Full Grid Charge Hours,80 Per Grid Charge Hours,AC Charger Watts,Estimated Minimum Grid Charge Efficiency,Real Minimum Grid Charge Efficiency,Inverter Efficiency,Battery Type,Retail Price (11/12/2023),Full Price (11/20/2023),Retail Price (12/30/2023),Retail Price (1/11/2024),Retail Price (1/26/2024),Bypass Mode,App Control,Unregulated Output,Warranty Years,Cycles,DoD,Lifespan,Link,Notes
Jackery,Explorer 300 Plus,288,100,0.3472222222,12,27,5,300,5,100,2,,1200,1.44,0.12,85,LiFePO4,254,299.99,299.99,,299.99,TRUE,TRUE,FALSE,5,3000,80,10,https://www.jackery.com/products/jackery-explorer-300-plus-portable-power-station,
Jackery,Explorer 700 Plus,680.96,600,0.8811090226,12,60,11,1000,15,1800,1.75,,,0.2161777778,,85,LiFePO4,399,799,799.00,,799,FALSE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/jackery-explorer-700-plus-portable-power-station,
Jackery,Explorer 1000 Plus,1264.64,800,0.6325910931,12,60,22,2000,15,1800,1.7,,,0.4132810458,,85,LiFePO4,899.00,1199,1199,,1199,TRUE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/jackery-explorer-1000-plus-portable-power-station?variant=40233095135319,
Jackery,Explorer 2000 Plus,2042.8,1400,0.6853338555,17.5,60,24,3000,15,1800,2,,,0.5674444444,,85,LiFePO4,1659.00,2199,2199,,2199,TRUE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/explorer-2000-plus-portable-power-station,
Pecron,E600LFP,614,400,0.651465798,12,18,7,1200,,,2.2,,,,,85,LiFePO4,299.00,499,299.00,,329,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e600lfp-1200w-portable-power-station-lifepo4,does not allow for simultaneous grid and PV input
Pecron,E1500LFP Expandable,1536,800,0.5208333333,12,18,7,2200,,1400,1.8,,,0.6095238095,,85,LiFePO4,899.00,1299,899.00,,799,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e1500lfp-expandable-power-station-2200w-1536wh,does not allow for simultaneous grid and PV input
Pecron,E2000LFP Expandable,1920,1200,0.625,12,18,7,2000,,,2,,,,,85,LiFePO4,899.00,1499,899.00,,899,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e2000lfp-portable-power-station,does not allow for simultaneous grid and PV input
BougeRv,FORT 1000,1120,200,0.1785714286,12,30,8,1200,,200,5.5,,,1.018181818,,,LiFePO4,1159.98,1159.98,999.99,,999.99,FALSE,FALSE,FALSE,7,3500,80,,https://www.bougerv.com/products/fort-1000-portable-power-station,
BougeRv,FORT 1500,1456,400,0.2747252747,12,45,12,2200,,378,3.8,,,1.013645224,,,LiFePO4,2099.99,2099.99,1499.99,,1499,FALSE,FALSE,FALSE,7,3500,80,,https://www.bougerv.com/products/fort-1500-portable-power-station,
Lion Energy,Safari,1612,600,0.3722084367,24,60,25,3000,,,2.3,,,,,92,LiFePO4,1699.00,1699,1699.00,,1699,FALSE,FALSE,FALSE,5,3500,80,,https://lionenergy.com/products/lion-safari,
